id,date,city_st,location,size,size_str,urls,collection
,2020-05-26,"Houston, TX","Discovery Green, Houston, TX",,,['https://www.houstonchronicle.com/news/houston-texas/houston/article/Black-Lives-Matter-rally-to-be-held-at-Discovery-15301848.php'],CCC
,2020-05-26,"Minneapolis, MN","site of Floyd's arrest; Minneapolis Police Department's Third Precinct Station, Minneapolis, MN",2000.0,several thousand,"['https://www.startribune.com/restraint-needed-as-minneapolis-burns/570815512/', 'https://www.usatoday.com/story/news/nation/2020/05/27/george-floyd-protesters-clash-minneapolis-police-after-video/5264887002/']",CCC
,2020-05-26,"St. Paul, MN","near home of Derek Chauvin, St. Paul, MN",,,['https://www.cbsnews.com/news/george-floyd-death-protest-minneapolis-police-scene-wednesday/'],CCC
,2020-05-26,"Suffolk, VA","North Suffolk Police Station, Suffolk, VA",2.0,count pic,['https://www.suffolknewsherald.com/2020/05/27/minneapolis-death-inspires-suffolk-demonstration/'],CCC
,2020-05-27,"Duluth, MN","Clayton Jackson McGhie Memorial, Duluth, MN",,,['https://www.duluthnewstribune.com/news/6514070-Protesters-march-for-George-Floyd-in-Duluth'],CCC
,2020-05-27,"Los Angeles, CA","outside Civic Center; outside the Los Angeles County Hall of Justice; downtown LA, Los Angeles, CA",300.0,several hundred,"['https://www.latimes.com/california/story/2020-05-27/protestors-block-the-101-freeway', 'https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?smid=tw-nytimes&smtyp=cur']",CCC
,2020-05-27,"Memphis, TN","Union Avenue, Memphis, TN",75.0,50-60; more than 100,"['https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?smid=tw-nytimes&smtyp=cur', 'https://www.commercialappeal.com/story/news/local/2020/05/27/george-floyd-demonstration-memphis-shuts-down-union-avenue/5269833002/']",CCC
,2020-05-27,"Minneapolis, MN","outside the Third Precinct Police Headquarters; intersection of Chicago Ave and East 38th st; other locations, Minneapolis, MN",24.0,dozens,"['https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?smid=tw-nytimes&smtyp=cur', 'https://www.cbsnews.com/news/george-floyd-death-protest-minneapolis-police-scene-wednesday/']",CCC
,2020-05-27,"Olympia, WA","Downtown, Olympia, WA",,,['https://www.king5.com/article/news/local/seattle/seattle-protest-death-of-george-floyd/281-bba2f836-c4a2-48e1-b5df-189527e08a7d'],CCC
,2020-05-27,"Santee, CA","Town Center Community Park; City Hall, Santee, CA",50.0,more than 50,['https://www.sandiegouniontribune.com/communities/east-county/santee/story/2020-05-27/dozens-rally-in-santee-to-promote-message-of-tolerance-and-inclusion'],CCC
,2020-05-27,"South Sacramento, CA","near Fulton and 65th Streets, South Sacramento, CA",24.0,dozens,['https://fox40.com/news/local-news/sacramento-protesters-join-countrywide-demonstrations-to-demand-justice-for-george-floyd/'],CCC
,2020-05-27,"St. Paul, MN","intersection of East 38th St and Chicago Ave, St. Paul, MN",24.0,dozens,['https://www.cbsnews.com/news/george-floyd-death-protest-minneapolis-police-scene-wednesday/'],CCC
,2020-05-28,"Albuquerque, NM","near Central and Wyoming, Albuquerque, NM",,,"['https://twitter.com/KOBPatrickHayes/status/1266170351949508608?s=20', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html']",CCC
,2020-05-28,"Albuquerque, NM","Central and Wyoming, Albuquerque, NM",24.0,dozens,"['https://www.abqjournal.com/1460629/police-confront-protesters-in-se-abq.html', 'number of arrests unknown ']",CCC
,2020-05-28,"Apple Valley, MN","Dakota County Western Service Center, Apple Valley, MN",2.0,arrests,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"Blaine, MN","Northtown Mall, Blaine, MN",2.0,arrests,['https://www.hometownsource.com/abc_newspapers/news/publicsafety/police-minimal-damage-at-northtown-mall-after-crowd-gathered-to-protest-may-28/article_27436088-a1ec-11ea-8c7b-27d19de7c5db.html'],CCC
,2020-05-28,"Boston, MA","Ashmont T Stop, Boston, MA",24.0,dozens,['https://www.masslive.com/springfield/2020/05/george-floyds-death-in-minneapolis-prompts-hundreds-to-protest-police-brutality-outside-springfield-police-headquarters.html'],CCC
,2020-05-28,"Chicago, IL","Englewood; North State St; Halsted St; 68th St; 70th St, Chicago, IL",,,['https://www.chicagotribune.com/news/criminal-justice/ct-chicago-george-floyd-police-protest-20200528-feeoz7qiincjxnc3ixjxmqpjwe-story.html'],CCC
,2020-05-28,"Columbus, OH","state house, Columbus, OH",,,"['https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://fox8.com/news/protesters-storm-ohio-statehouse-police-use-tear-gas-to-disperse-crowd/']",CCC
,2020-05-28,"Columbus, OH","Statehouse, Columbus, OH",400.0,around 400,['https://www.thedenverchannel.com/news/national/columbus-protest-over-george-floyds-death-turns-violent'],CCC
,2020-05-28,"Denver, CO","Capitol; downtown streets; Civic Center area, Denver, CO",200.0,several hundred,"['https://kdvr.com/news/local/shots-fired-near-colorado-capitol-during-protest-demanding-justice-for-george-floyd/', 'https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html']",CCC
,2020-05-28,"Denver, CO",", Denver, CO",200.0,at least 200,['https://twitter.com/UR_Ninja/status/1266208309222072321?s=03'],CCC
,2020-05-28,"Fontana, CA","8400 block of Sierra Avenue, Fontana, CA",100.0,about 100,['https://www.latimes.com/california/story/2020-05-29/fontana-protest-over-george-floyds-death-ends-in-9-arrests-police-say'],CCC
,2020-05-28,"Forest Grove, OR","in front of library, Forest Grove, OR",7.0,about 7,['https://www.galescreekjournal.com/posts/381/hundreds-gather-in-forest-grove-to-protest-police-brutality-against-black-americans'],CCC
,2020-05-28,"Fort Collins, CO","Fort Collins Police Services Building, Fort Collins, CO",300.0,several hundred,['https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/'],CCC
