,index,city_st
1233,",",1
1937,", OH",1
1967,"Aberdeen, NC",1
228,"Aberdeen, SD",4
114,"Abilene, TX",6
1263,"Abingdon, VA",1
2250,"Accomac, VA",1
2035,"Acton, MA",1
2345,"Ada, OK",1
899,"Adrian, MI",2
1671,"Agawam, MA",1
390,"Aiken, SC",3
147,"Akron, OH",5
2114,"Alameda, CA",1
1342,"Alamo Heights, TX",1
989,"Alamogordo, NM",1
1126,"Alamosa, CO",1
2559,"Albany, GA",1
310,"Albany, NY",3
1213,"Albany, OR",1
1405,"Albemarle, NC",1
1685,"Albert Lea, MN",1
1825,"Alberta, Canad",1
1017,"Albertville, AL",1
55,"Albuquerque, NM",9
2268,"Alcoa, TN",1
1623,"Aledo, TX",1
182,"Alexandria, LA",4
1085,"Alexandria, MN",1
506,"Alexandria, VA",2
627,"Alhambra, CA",2
2578,"Aliquippa, PA",1
1528,"Allen Park, MI",1
821,"Allentown, PA",2
2515,"Alliance, OH",1
1607,"Alpena, MI",1
902,"Alpharetta, GA",2
2344,"Alpine, TX",1
1408,"Altadena, CA",1
1924,"Altamont, NY",1
867,"Alton, IL",2
2442,"Alton, NH",1
528,"Altoona, PA",2
2585,"Altus, OK",1
2055,"Alwxandria, LA",1
349,"Amarillo, TX",3
1789,"Americus, GA",1
2594,"Amery, WI",1
258,"Ames, IA",3
2188,"Amesbury, MA",1
605,"Amherst, MA",2
1183,"Amsterdam, NY",1
1000,"Amsterdam, Netherlands",1
470,"Anacortes, WA",2
319,"Anaheim, CA",3
2447,"Anchorage, AK",1
1567,"Andalusia, AL",1
672,"Anderson, IN",2
2117,"Anderson, SC",1
654,"Andover, MA",2
1105,"Angels Camp, CA",1
1014,"Angleton, TX",1
2417,"Angola, IN",1
69,"Ann Arbor, MI",8
2463,"Anna, IL",1
892,"Annapolis, MD",2
2165,"Anniston, AL",1
1358,"Anoka, MN",1
969,"Ansonia, CT",1
2546,"Antioch, CA",1
2437,"Apex, NC",1
2372,"Apple Valley, CA",1
1870,"Apple Valley, MN",1
230,"Appleton, WI",4
551,"Appomattox, VA",2
2084,"Arcadia, CA",1
2109,"Arcata, CA",1
2378,"Ardmore, OK",1
910,"Ardmore, PA",2
1760,"Arkadelphia, AR",1
601,"Arlington Heights, IL",2
113,"Arlington, MA",6
462,"Arlington, TX",2
1565,"Arlington, VA",1
477,"Arnold, MO",2
2362,"Arvin, CA",1
1366,"Asbury Park, NJ",1
317,"Asheboro, NC",3
160,"Asheville, NC",5
1763,"Ashfield, MA",1
1949,"Ashland, AL",1
47,"Ashland, OH",9
1853,"Ashland, OR",1
2329,"Ashland, VA",1
1885,"Ashland, WI",1
2600,"Ashtabula, OH",1
414,"Aspen, CO",3
1116,"Astoria, NY",1
1759,"Astoria, OR",1
1210,"Atchison, KS",1
531,"Athens, AL",2
223,"Athens, GA",4
322,"Athens, OH",3
1067,"Athens, TN",1
12,"Atlanta, GA",13
890,"Atlantic City, NJ",2
1398,"Atlantic, IA",1
