id,date,city_st,location,size,size_str,urls,collection
,2020-05-26,"Hammond, IN","Hammond Police Department, Hammond, IN",,,['https://www.nwitimes.com/news/local/watch-now-protesters-march-down-street-in-hammond/video_66a15098-7fbf-5be9-b034-6f5a396b9fe1.html'],CCC
,2020-05-26,"Houston, TX","Discovery Green, Houston, TX",,,['https://www.houstonchronicle.com/news/houston-texas/houston/article/Black-Lives-Matter-rally-to-be-held-at-Discovery-15301848.php'],CCC
,2020-05-26,"Los Angeles, CA","Downtown, Los Angeles, CA",,,"['https://www.latimes.com/california/story/2020-05-29/protesters-outraged-over-george-floyd-death-shut-down-101-freeway-in-san-jose', 'number of arrests and participant injuries unknown ']",CCC
,2020-05-26,"Minneapolis, MN","site of Floyd's arrest; Minneapolis Police Department's Third Precinct Station, Minneapolis, MN",2000.0,several thousand,"['https://www.sfexaminer.com/national-news/thousands-march-to-protest-george-floyds-death/', 'https://www.startribune.com/restraint-needed-as-minneapolis-burns/570815512/', 'https://www.usatoday.com/story/news/nation/2020/05/27/george-floyd-protesters-clash-minneapolis-police-after-video/5264887002/']",CCC
,2020-05-26,"Minneapolis, MN","outside third precinct, Minneapolis, MN",200.0,several hundred,"['https://www.mprnews.org/story/2020/05/26/protesters-rally-to-call-for-justice-for-man-who-died-in-mpls-police-incident', 'https://twitter.com/StarTribune/status/1265448164607156224', 'https://www.usatoday.com/story/news/nation/2020/05/27/george-floyd-protesters-clash-minneapolis-police-after-video/5264887002/']",CCC
,2020-05-26,"St. Paul, MN","near home of Derek Chauvin, St. Paul, MN",,,['https://www.cbsnews.com/news/george-floyd-death-protest-minneapolis-police-scene-wednesday/'],CCC
,2020-05-26,"Suffolk, VA","North Suffolk Police Station, Suffolk, VA",2.0,count pic,['https://www.suffolknewsherald.com/2020/05/27/minneapolis-death-inspires-suffolk-demonstration/'],CCC
,2020-05-27,"Duluth, MN","Clayton Jackson McGhie Memorial, Duluth, MN",,,['https://www.duluthnewstribune.com/news/6514070-Protesters-march-for-George-Floyd-in-Duluth'],CCC
,2020-05-27,"Los Angeles, CA","outside Civic Center; outside the Los Angeles County Hall of Justice; downtown LA, Los Angeles, CA",300.0,several hundred,"['https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?smid=tw-nytimes&smtyp=cur', 'https://www.latimes.com/california/story/2020-05-27/protestors-block-the-101-freeway', 'https://www.dailybreeze.com/2020/05/28/2nd-protester-hurt-in-downtown-black-lives-matter-protest-when-car-drives-through-marchers/']",CCC
,2020-05-27,"Marco Island, FL",", Marco Island, FL",,,['https://www.naplesnews.com/picture-gallery/news/local/2020/06/06/community-protest-racial-justice-north-naples/3167127001/'],CCC
,2020-05-27,"Memphis, TN","Union Avenue, Memphis, TN",72.5,50-60; more than 100,"['https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?smid=tw-nytimes&smtyp=cur', 'https://www.localmemphis.com/article/news/local/state-local-leaders-want-memphis-mayor-to-condemn-some-police-officers-actions-during-protest/522-dcb82611-d9d4-4e0c-be77-d3d92cd79b69', 'https://www.commercialappeal.com/story/news/local/2020/05/27/george-floyd-demonstration-memphis-shuts-down-union-avenue/5269833002/']",CCC
,2020-05-27,"Minneapolis, MN","outside the Third Precinct Police Headquarters; intersection of Chicago Ave and East 38th st; other locations, Minneapolis, MN",103.2,dozens; several hundred,"['https://www.cbsnews.com/news/george-floyd-death-protest-minneapolis-police-scene-wednesday/', 'https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?smid=tw-nytimes&smtyp=cur', 'https://www.usatoday.com/story/news/nation/2020/05/27/george-floyd-protesters-clash-minneapolis-police-after-video/5264887002/']",CCC
,2020-05-27,"Oakdale , MN ","near Chauvin's home , Oakdale , MN ",,,['https://www.thedickinsonpress.com/news/crime-and-courts/6511553-6-protesters-arrested-near-Minneapolis-officer%E2%80%99s-home'],CCC
,2020-05-27,"Olympia, WA","Downtown, Olympia, WA",,,['https://www.king5.com/article/news/local/seattle/seattle-protest-death-of-george-floyd/281-bba2f836-c4a2-48e1-b5df-189527e08a7d'],CCC
,2020-05-27,"Santee, CA","Town Center Community Park; City Hall, Santee, CA",50.0,more than 50,['https://www.sandiegouniontribune.com/communities/east-county/santee/story/2020-05-27/dozens-rally-in-santee-to-promote-message-of-tolerance-and-inclusion'],CCC
,2020-05-27,"South Sacramento, CA","near Fulton and 65th Streets, South Sacramento, CA",24.0,dozens,['https://fox40.com/news/local-news/sacramento-protesters-join-countrywide-demonstrations-to-demand-justice-for-george-floyd/'],CCC
,2020-05-27,"St. Paul, MN","intersection of East 38th St and Chicago Ave, St. Paul, MN",24.0,dozens,['https://www.cbsnews.com/news/george-floyd-death-protest-minneapolis-police-scene-wednesday/'],CCC
,2020-05-27,"Willingboro, NJ","Corner of Rte 130 and Woodland Road, Willingboro, NJ",12.0,dozen ,['https://www.courierpostonline.com/story/news/2020/05/30/burlington-county'],CCC
,2020-05-28,"Albuquerque, NM","near Central and Wyoming, Albuquerque, NM",,,"['https://www.nytimes.com/2020/05/29/us/george-floyd-minneapolis-protests.html', 'https://twitter.com/KOBPatrickHayes/status/1266170351949508608?s=20', 'https://www.abqjournal.com/1460629/police-confront-protesters-in-se-abq.html']",CCC
,2020-05-28,"Albuquerque, NM","Central and Wyoming, Albuquerque, NM",24.0,dozens,"['https://elkodaily.com/news/state-and-regional/albuquerque-cops-use-gas-in-confrontation-with-protesters/article_40334d89-7d6f-5b21-baf0-fd5cdd9e54a6.html', 'number of arrests unknown ', 'https://www.abqjournal.com/1460629/police-confront-protesters-in-se-abq.html']",CCC
,2020-05-28,"Ann Arbor , MI ","Sherrif's Office , Ann Arbor , MI ",245.0,hundreds; at least 300 ,"['https://www.mlive.com/news/ann-arbor/2020/05/ypsilanti-woman-shown-being-punched-by-deputy-released-from-jail-will-speak-at-friday-protest.html', 'https://www.mlive.com/news/ann-arbor/2020/05/police-brutality-protesters-block-streets-brewery-leaving-downtown-top-headlines-ann-arbor-may-23-28.html']",CCC
,2020-05-28,"Apple Valley, MN","Dakota County Western Service Center, Apple Valley, MN",2.0,arrests,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"Beaumont, Texas",", Beaumont, Texas",,,['https://www.beaumontenterprise.com/news/article/Beaumont-NAACP-rally-urges-Justice-for-George-15302116.php'],CCC
,2020-05-28,"Birmingham, AL","Kelly Ingram Park , Birmingham, AL",100.0,more than 100,['https://www.al.com/news/birmingham/2020/05/we-should-be-fed-up-birmingham-activists-protest-george-floyds-death.html'],CCC
,2020-05-28,"Blaine, MN","Northtown Mall, Blaine, MN",2.0,arrests,['https://www.hometownsource.com/abc_newspapers/news/publicsafety/police-minimal-damage-at-northtown-mall-after-crowd-gathered-to-protest-may-28/article_27436088-a1ec-11ea-8c7b-27d19de7c5db.html'],CCC
,2020-05-28,"Boston, MA","Ashmont T Stop, Boston, MA",24.0,dozens,['https://www.masslive.com/springfield/2020/05/george-floyds-death-in-minneapolis-prompts-hundreds-to-protest-police-brutality-outside-springfield-police-headquarters.html'],CCC
,2020-05-28,"Brainerd, MN","6th and Washington, Brainerd, MN",60.0,over 60 ,['https://www.brainerddispatch.com/news/6511578-Over-60-gather-at-6th-and-Washington-in-Brainerd-to-protest-racial-injustice'],CCC
,2020-05-28,"Chicago, IL","Englewood; North State St; Halsted St; 68th St; 70th St, Chicago, IL",,,"['https://www.chicagotribune.com/news/criminal-justice/ct-chicago-george-floyd-police-protest-20200528-feeoz7qiincjxnc3ixjxmqpjwe-story.html', 'https://blockclubchicago.org/2020/05/29/protest-for-george-floyd-planned-for-downtown-this-weekend/']",CCC
,2020-05-28,"Columbus, OH","Statehouse, Columbus, OH",400.0,around 400,"['https://www.thedenverchannel.com/news/national/columbus-protest-over-george-floyds-death-turns-violent', 'https://www.10news.com/news/national/columbus-protest-over-george-floyds-death-turns-violent', 'https://www.bgdailynews.com/news/national/columbus-protest-over-george-floyds-death-turns-violent/article_4de147ee-c75f-5bef-99c1-e73541a7866d.html']",CCC
,2020-05-28,"Deluth, MN",", Deluth, MN",100.0,about 100,['https://www.startribune.com/protests-over-george-floyd-s-death-spread-to-duluth/570833832/'],CCC
