id,date,city_st,location,size,size_str,urls,collection
2300,2017-02-28,"Goshen, IN","Goshen, IN",10.0,10.0,['http://www.wndu.com/content/news/Justice-for-Norman--415056023.html'],Count Love
4230,2017-03-06,"Madison, WI","Madison, WI",200.0,200.0,['http://www.channel3000.com/news/top-stories/community-members-hold-march-candlelight-vigil-to-remember-tony-robinson/380710355'],Count Love
18339,2017-03-07,"Stockton, CA","Stockton, CA",,nan,['https://www.recordnet.com/news/20181029/oakland-resident-accepts-plea-agreement-in-2017-stockton-city-council-protest'],Count Love
4278,2017-03-19,"St. Paul, MN","St. Paul, MN",60.0,60.0,['http://www.twincities.com/2017/03/19/cordale-handy-st-paul-police-shooting-black-lives-matter-officers-mother-vigil/'],Count Love
4341,2017-03-29,"Portland, OR","Portland, OR",60.0,60.0,['http://katu.com/news/local/large-police-presence-outside-portland-building-as-protesters-gather'],Count Love
5820,2017-04-03,"Syracuse, NY","Syracuse, NY",60.0,60.0,['http://www.syracuse.com/news/index.ssf/2017/04/syracuse_black_lives_matter_rally_aims_at_continuing_the_call_for_justice.html'],Count Love
5955,2017-04-12,"San Francisco, CA","Mission Police Station, San Francisco, CA",25.0,25.0,['https://missionlocal.org/2017/04/demonstrators-protest-das-decision-to-exonerate-officers-in-fatal-police-shooting/'],Count Love
2077,2017-05-02,"Baton Rouge, LA","Baton Rouge, LA",,nan,"['http://www.theadvocate.com/baton_rouge/news/alton_sterling/article_88d03b60-2ff2-11e7-a041-3f479afded39.html', 'https://www.theadvocate.com/baton_rouge/news/courts/article_5afd7408-c37c-11e9-9402-5f4216925159.html']",Count Love
2096,2017-05-04,"Baton Rouge, LA","Baton Rouge, LA",60.0,60.0,['http://www.theadvocate.com/baton_rouge/news/crime_police/article_2af02a58-3139-11e7-a2fc-c3f08cdb40a8.html'],Count Love
2338,2017-05-10,"Baton Rouge, LA","Baton Rouge, LA",25.0,25.0,['http://www.theadvocate.com/baton_rouge/news/alton_sterling/article_161e9616-35c4-11e7-b96e-0b545e1b5a09.html'],Count Love
2345,2017-05-12,"Nashville, TN","Nashville, TN",50.0,50.0,['http://www.tennessean.com/story/news/local/2017/05/12/justice-jocques-coalition-hold-silent-protest-after-no-charges-brought-against-officer/320433001/'],Count Love
2383,2017-05-18,"Bridgeport, CT","Bridgeport, CT",100.0,100.0,['http://www.ctpost.com/local/article/Negron-protest-held-outside-City-Hall-Annex-11157012.php'],Count Love
2384,2017-05-18,"Tulsa, OK","Tulsa, OK",,nan,['http://ktul.com/news/local/demonstrators-march-from-courthouse-through-streets-of-downtown'],Count Love
5133,2017-05-20,"Tulsa, OK","Tulsa, OK",10.0,10.0,['http://www.tulsaworld.com/homepagelatest/group-feigns-death-at-mayfest-to-protest-betty-shelby-verdict/article_447eb337-883e-5cab-bdfa-d4897342b4e3.html'],Count Love
5161,2017-05-22,"Columbus, OH","City Hall, Columbus, OH",100.0,100.0,['http://nbc4i.com/2017/05/22/protesters-march-to-columbus-city-hall/'],Count Love
5186,2017-05-25,"Cincinnati, OH","Hamilton County Courthouse, Cincinnati, OH",40.0,40.0,['http://www.cincinnati.com/story/news/2017/05/25/protesters-convict-tensing-time-no-excuses/346494001/'],Count Love
5218,2017-05-27,"Appleton, WI","Appleton, WI",70.0,70.0,"['http://www.sheboyganpress.com/story/news/2017/05/27/appleton-protesters-no-justice-no-peace/351565001/', 'http://www.greenbaypressgazette.com/story/news/2017/05/27/appleton-protesters-no-justice-no-peace/351565001/']",Count Love
