date,city_st,urls,collection
05/26/2020,"Ann Arbor, MI",['https://www.mlive.com/news/ann-arbor/2020/05/hundreds-protesting-police-brutality-gather-in-ann-arbor-to-make-a-change-for-our-country.html'],New York Times
05/26/2020,"Louisville, KY",['https://www.courier-journal.com/story/news/2020/06/01/louisville-updates-aftermath-david-mcatee-shooting/5311384002/'],New York Times
05/26/2020,"Minneapolis, MN",['https://www.cbsnews.com/live-updates/george-floyd-death-protests-minneapolis-2020-05-30/'],New York Times
05/26/2020,"Chicago, IL",['https://www.chicagotribune.com/news/breaking/ct-loop-protests-property-damage-20200530-ncvxjtwglnfoddlyj4yuhd6lwm-story.html'],New York Times
05/26/2020,"Houston, TX",['https://abc13.com/protests-for-george-floyd-continue-for-second-day-in-houston/6221812/'],New York Times
05/26/2020,"Pittsfield Township, MI",['https://www.mlive.com/news/2020/05/police-brutality-protests-in-michigan-what-you-need-to-know-from-this-weekends-rallies-riots.html'],New York Times
05/27/2020,"Evansville, IN",['https://www.courierpress.com/story/news/local/2020/05/30/evansville-protest-george-floyd-anti-violence-rally-we-all-bleed-red/5291319002/?utm_campaign=snd-autopilot'],New York Times
05/27/2020,"Haverhill, MA",['https://www.eagletribune.com/news/haverhill/protesters-gather-daily-outside-haverhill-police-station/article_3a4291ff-016a-5b2d-9a38-e688a177ae01.html'],New York Times
05/27/2020,"Ann Arbor, MI",['https://www.mlive.com/news/ann-arbor/2020/05/hundreds-protesting-police-brutality-gather-in-ann-arbor-to-make-a-change-for-our-country.html'],New York Times
05/27/2020,"Minneapolis, MN",['https://www.cbsnews.com/live-updates/george-floyd-death-protests-minneapolis-2020-05-30/'],New York Times
05/27/2020,"St. Louis, MO",['https://www.ksdk.com/article/news/local/george-floyd-protests-st-louis/63-21ae884c-e724-4697-902b-018c5644d0df'],New York Times
05/27/2020,"Chicago, IL",['https://www.chicagotribune.com/news/breaking/ct-loop-protests-property-damage-20200530-ncvxjtwglnfoddlyj4yuhd6lwm-story.html'],New York Times
05/27/2020,"Sacramento, CA",['https://www.sacbee.com/news/local/article243168821.html'],New York Times
05/27/2020,"Los Angeles, CA",['https://www.latimes.com/california/story/2020-05-30/hundreds-arrested-after-looting-vandalism-sweep-downtown-la'],New York Times
05/27/2020,"Memphis, TN",['https://dailymemphian.com/section/metro/article/14560/floyd-protest-live-blog-day-7'],New York Times
05/27/2020,"Hayward, CA",['https://www.mercurynews.com/2020/05/31/photos-hayward-march-for-justice-after-death-of-george-floyd-in-minneapolis/'],New York Times
05/27/2020,"Pittsfield Township, MI",['https://www.mlive.com/news/2020/05/police-brutality-protests-in-michigan-what-you-need-to-know-from-this-weekends-rallies-riots.html'],New York Times
05/28/2020,"Brainerd, MN",['https://www.brainerddispatch.com/news/6511578-Over-60-gather-at-6th-and-Washington-in-Brainerd-to-protest-racial-injustice'],New York Times
05/28/2020,"St. Peter, MN",['https://www.mankatofreepress.com/news/hundreds-protest-in-st-peter-over-the-death-of-george-floyd/article_636411dc-a153-11ea-89b1-df137400cd26.html'],New York Times
05/28/2020,"Johnson City, TN",['https://www.wjhl.com/news/local/hundreds-show-up-to-peacefully-protest-for-justice-johnson-city-leaders-speak-out-on-what-they-hope-happens-next/'],New York Times
05/28/2020,"Cedar Rapids, IA",['https://cbs2iowa.com/news/local/day-two-of-peaceful-protests-in-downtown-cedar-rapids'],New York Times
05/28/2020,"St. Louis Park, MN",['https://www.hometownsource.com/sun_sailor/community/stlouispark/protest-in-george-floyd-s-city-of-residence-urges-action/article_26bfa7a6-a1f7-11ea-8706-af51c3960e80.html'],New York Times
05/28/2020,"Madisonville, KY",['https://www.the-messenger.com/news/local/article_ad79d528-4492-501f-be4c-a9555aa35071.html'],New York Times
05/28/2020,"Fort Collins, CO",['https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/'],New York Times
05/28/2020,"Gettysburg, PA","['https://www.abc27.com/news/local/protesters-fill-gettysburg-square-to-condemn-death-of-george-floyd/', 'https://www.abc27.com/news/local/protesters-fill-gettysburg-square-to-condemn-death-of-george-floyd/']",New York Times
05/28/2020,"Elmira, NY",['https://www.stargazette.com/story/news/local/2020/05/30/elmira-ny-residents-protest-death-minneapolis-man-george-floyd/5286100002/'],New York Times
05/28/2020,"Portland, OR",['https://www.oregonlive.com/portland/2020/05/protests-continue-in-portland-over-minneapolis-police-killing-of-george-floyd.html'],New York Times
05/28/2020,"Colorado Springs, CO","['https://www.koaa.com/news/covering-colorado/protesters-march-against-police-violence-in-colorado-springs', 'https://krdo.com/news/top-stories/2020/05/31/watch-colorado-springs-protests-begin-peacefully-sunday/']",New York Times
05/28/2020,"Ann Arbor, MI",['https://www.mlive.com/news/ann-arbor/2020/05/hundreds-protesting-police-brutality-gather-in-ann-arbor-to-make-a-change-for-our-country.html'],New York Times
05/28/2020,"Omaha, NE",['https://www.ketv.com/article/omaha-police-traffic-shut-down-at-72nd-and-dodge-protesters-throwing-rocks-at-officers/32720532'],New York Times
05/28/2020,"Louisville, KY",['https://www.courier-journal.com/story/news/2020/06/01/louisville-updates-aftermath-david-mcatee-shooting/5311384002/'],New York Times
05/28/2020,"Framingham, MA",['https://www.metrowestdailynews.com/news/20200528/framingham-high-alums-hold-protest-over-george-floyds-death'],New York Times
05/28/2020,"Minneapolis, MN",['https://www.cbsnews.com/live-updates/george-floyd-death-protests-minneapolis-2020-05-30/'],New York Times
05/28/2020,"Huntsville, AL",['https://www.al.com/news/birmingham/2020/06/protests-lead-to-hoover-arrests-hundreds-gather-in-homewood.html'],New York Times
05/28/2020,"Lansing, MI",['https://www.wilx.com/content/news/Protesters-return-to-the-Capitol-on-Sunday-570905681.html'],New York Times
05/28/2020,"Denver, CO",['https://www.denverpost.com/2020/06/03/denver-protests-live-updates-june-3-george-floyd/'],New York Times
05/28/2020,"Troy, AL",['https://www.troymessenger.com/2020/05/30/using-our-voices-protesters-line-troy-square/'],New York Times
05/28/2020,"St. Paul, MN",['https://minnesota.cbslocal.com/video/4573406-protests-underway-at-governors-residence-in-st-paul/'],New York Times
05/28/2020,"Carlsbad, NM",['https://www.currentargus.com/story/news/local/2020/06/01/george-floyd-carlsbad-sees-peaceful-protest-wake-death/5307637002/'],New York Times
05/28/2020,"Boston, MA",['https://www.bostonglobe.com/2020/06/02/metro/thousands-boston-peacefully-denounce-killings-black-americans/'],New York Times
05/28/2020,"Las Vegas, NV",['https://www.fox5vegas.com/news/protest-stays-peaceful-majority-go-home-tuesday-night-in-las-vegas/article_881ada92-a540-11ea-ad1d-93a7eaedf086.html'],New York Times
05/28/2020,"St. Louis, MO",['https://www.ksdk.com/article/news/local/george-floyd-protests-st-louis/63-21ae884c-e724-4697-902b-018c5644d0df'],New York Times
05/28/2020,"Phoenix, AZ",['https://www.azcentral.com/picture-gallery/news/local/phoenix/2020/05/29/hundreds-gather-downtown-phoenix-protest-death-george-floyd-minneapolis/5281116002/'],New York Times
05/28/2020,"Charlotte, NC",['https://www.charlotteobserver.com/news/local/crime/article243226516.html'],New York Times
05/28/2020,"Columbus, GA","['https://www.ledger-enquirer.com/news/local/article243139011.html', 'https://www.wtvm.com/2020/05/31/peaceful-protest-held-broadway-downtown-columbus/']",New York Times
05/28/2020,"Albuquerque, NM",['https://www.abqjournal.com/1462404/hundreds-protest-again-in-abq.html'],New York Times
05/28/2020,"Atlanta, GA",['https://www.ajc.com/news/photos-fourth-day-protests-metro-atlanta/MCm931ZVgGoFjjIjFwMqqL/'],New York Times
05/28/2020,"Beaumont, TX",['https://www.beaumontenterprise.com/news/article/Beaumont-NAACP-rally-urges-Justice-for-George-15302116.php'],New York Times
05/28/2020,"New York, NY",['https://www.nytimes.com/2020/05/30/nyregion/protests-nyc-george-floyd.html'],New York Times
05/28/2020,"Dallas, TX",['https://www.dallasnews.com/news/2020/06/01/dallas-protests-set-to-continue-for-4th-night-despite-citys-curfew/'],New York Times
05/28/2020,"Oakland, CA",['https://www.mercurynews.com/2020/05/29/protestors-gather-for-minneapolis-solidarity-demonstration-in-oakland-following-george-floyds-killing/'],New York Times
05/28/2020,"San Jose, CA",['https://www.nbcbayarea.com/news/local/south-bay/san-jose-residents-gather-react-to-curfew/2301458/'],New York Times
05/28/2020,"Vallejo, CA",['https://www.timesheraldonline.com/2020/05/31/protesters-and-vallejo-police-face-off-saturday-night/'],New York Times
05/28/2020,"Birmingham, AL",['https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html'],New York Times
05/28/2020,"Ferguson, MO",['https://www.stltoday.com/news/local/metro/updates-from-may-31-into-june-1-police-fire-tear-gas-at-ferguson-protesters-six/article_bc2ab368-8757-5681-8f0a-f56e493f65f6.html'],New York Times
05/28/2020,"Hayward, CA",['https://www.mercurynews.com/2020/05/31/photos-hayward-march-for-justice-after-death-of-george-floyd-in-minneapolis/'],New York Times
05/28/2020,"Fontana, CA",['https://www.nbclosangeles.com/news/local/9-arrested-in-fontana-protest-over-george-floyd-death/2370394/'],New York Times
05/28/2020,"Pittsfield Township, MI",['https://www.mlive.com/news/2020/05/police-brutality-protests-in-michigan-what-you-need-to-know-from-this-weekends-rallies-riots.html'],New York Times
05/29/2020,"Geneva, IL",['https://www.kcchronicle.com/2020/05/29/protestors-march-down-route-38/dt3vw29/'],New York Times
05/29/2020,"Canton, NC",['https://fox8.com/news/no-justice-no-peace-citizens-gather-in-downtown-canton-to-protest-george-floyds-death/'],New York Times
05/29/2020,"La Crosse, WI",['https://www.news8000.com/second-night-of-peaceful-protests-held-in-downtown-la-crosse/'],New York Times
05/29/2020,"Missoula, MT","['https://nbcmontana.com/news/local/hundreds-protest-death-of-george-floyd-in-missoula', 'https://helenair.com/news/local/demonstrators-gather-in-helena-to-protest-the-killing-of-george-floyd/article_c43c84f3-0710-514f-abda-ccd528c07e7c.html']",New York Times
05/29/2020,"Delaware, OH",['https://www.delgazette.com/news/84099/vigil-held-downtown-delaware-george-floyd'],New York Times
05/29/2020,"Springfield, MO","['https://www.news-leader.com/story/news/local/ozarks/2020/05/30/springfield-missouri-george-floyd-protests/5293355002/', 'https://www.ky3.com/content/news/Protests-underway-at-Glenstone-and-Battlefield-for-second-straight-day-570907391.html']",New York Times
05/29/2020,"Mankato, MN",['https://ktoe.com/2020/05/30/update-on-mankato-north-mankato-curfew/'],New York Times
05/29/2020,"Hanover, PA",['https://www.ydr.com/picture-gallery/news/2020/05/31/george-floyd-protests-hanover-pa-photos/5302042002/'],New York Times
