cityst,pop2019,pop_category,called?,photo,use_v2,labelbatch,dont_use_link,small protest,social,size_est_low,size_est_high,srclinks,srclink_2,article_hed,article_source,cities,state,lat,lon,latlonCK,editor,batch,dupe,region,firstday,Tue May 26,Wed May 27,Thu May 28,Fri May 29,Sat May 30,Sun May 31,Mon Jun 1,Tue Jun 2,Wed Jun 3,Thu Jun 4,Fri Jun 5,Sat Jun 6,Sun Jun 7,Mon Jun 8,Tue Jun 9,Before May 29,total_days,FIPS,TOTPOP,P_WHITE_NH,P_BLACK_NH,P_ASIAN_NH,P_HISPANIC,MEDIAN_HHI,wbin,bbin,abin,hbin,ibin,protester violence,police tactics and violence,tactics links,tear gas search,tear gas,tear gas link,tear gas video verification,tear gas police department,"tear gas 
photo",tg check,use,order,where can we get photo,nytname,poprank
BristolNH,"1,916",p1,,0,y,,,,,,,https://www.wmur.com/article/hundreds-gather-for-peaceful-demonstration-in-bristol/32760087,,Hundreds gather for peaceful demonstration in Bristol,WMUR,Bristol,New Hampshire,43.591,-71.737,✓,jugal,9,–,NE,9,,,,,,,,,1,,,,,,,,1,3307620,"1,916",100.0,0.0,0.0,0.0,"41,477",9,0,0,0,40,,,,,,,,,,,,,,"Bristol, N.H.",
WiscassetME,"1,042",p1,,0,y,,,y,,,,https://www.pressherald.com/2020/06/06/peaceful-protesters-demonstrate-at-lincoln-county-sheriffs-office-2/,,,,Wiscasset,Maine,44.003,-69.666,✓,jugal,15,–,NE,11,,,,,,,,,,,1,,,,,,1,2387040,"1,042",100.0,0.0,0.0,0.0,"24,407",9,0,0,0,20,,,,,,,,,,,,,,"Wiscasset, Maine",
ChesterVT,798,p1,,0,y,,,?,,,,https://www.chestertelegraph.org/2020/06/01/dozens-protest-racism-police-violence/,https://www.chestertelegraph.org/2020/06/08/large-turnout-to-support-black-lives-matter/,,,Chester,Vermont,43.262,-72.593,✓,barbara,15,–,NE,7,,,,,,,1,,,,,1,,,,,2,5013600,798,100.0,0.0,0.0,0.0,"46,852",9,0,0,0,40,,,,,,,,,,,,,,"Chester, Vt.",
NaplesME,515,p1,,0,y,,,,,,,https://www.pressherald.com/2020/06/05/peaceful-protest-draws-about-50-people-to-naples-causeway/,,,,Naples,Maine,43.971,-70.611,✓,jugal,15,–,NE,10,,,,,,,,,,1,,,,,,,1,2348050,515,99.4,0.2,0.0,0.0,"76,771",9,0,0,0,70,,,,,,,,,,,,,,"Naples, Maine",
BoulderUT,178,p1,,0,y,white,,,,,,https://twitter.com/HellsBackbone/status/1269139104958017538?s=20,,,,Boulder,Utah,37.908,-111.424,✓,barbara,15,–,W,11,,,,,,,,,,,1,,,,,,1,4907470,178,99.4,0.0,0.6,0.0,"50,417",9,0,0,0,50,,,,,,,,,,,,,,"Boulder, Utah",16117
PortagePA,"2,491",p1,,0,y,,,y,,,,https://www.tribdem.com/news/watch-video-group-holds-black-lives-matter-march-in-portage-to-spread-awareness-in-our/article_d7ecb626-a6df-11ea-be37-6b100ff52449.html,,,,Portage,Pennsylvania,40.387,-78.674,✓,jugal,12,–,NE,10,,,,,,,,,,1,,,,,,,1,4202162048,"2,491",99.2,0.0,0.0,0.0,"40,912",9,0,0,0,40,,,,,,,,,,,,,,"Portage, Pa.",6974
Long Beach IslandNJ,"3,043",p1,,0,y,,,,,,,https://patch.com/new-jersey/barnegat-manahawkin/black-lives-matter-protest-set-saturday-stafford-lbi,,,,Long Beach Island,New Jersey,39.651,-74.177,✓,Yuri,15,–,NE,12,,,,,,,,,,,,1,,,,,1,3402941250,"3,043",98.4,0.0,0.2,0.5,"84,125",9,0,0,0,80,,,,,,,,,,,,,,"Long Beach Island, N.J.",
MifflinburgPA,"3,526",p1,,0,y,,,,,,,https://www.dailyitem.com/news/mifflinburg-danville-protests-draw-hundreds/article_7cada1c8-14cc-5a72-9a7c-22b1002c35c0.html,,,,Mifflinburg,Pennsylvania,40.921,-77.037,✓,jugal,13,–,NE,13,,,,,,,,,,,,,1,,,,1,4249288,"3,526",98.2,1.0,0.0,0.9,"51,830",9,0,0,0,50,,,,,,,,,,,,,,"Mifflinburg, Pa.",5791
GarrettsvilleOH,"2,594",p1,,0,y,white,,y,,,,https://www.record-courier.com/news/20200603/small-protest-in-garrettsville-aims-to-start-conversation-about-race,,,,Garrettsville,Ohio,41.285,-81.099,✓,Alex,15,–,MW,7,,,,,,,1,,,,,,,,,,1,3929442,"2,594",97.9,0.0,0.8,0.3,"51,607",9,0,0,0,50,,,,,,,,,,,,,,"Garrettsville, Ohio",7079
FayettevilleWV,"2,838",p1,,0,y,,,,,,,https://woay.com/peaceful-protesters-gather-in-fayetteville/,,,,Fayetteville,West Virginia,38.052,-81.103,✓,jugal,15,–,NE,5,,,,,1,,,,,,,,,,,,1,5427028,"2,838",97.7,1.9,0.0,0.5,"50,833",9,0,0,0,50,,,,,,,,,,,,,,"Fayetteville, W.Va.",6542
PeterboroughNH,"2,846",p1,,0,y,,,,,,,https://www.ledgertranscript.com/PHOTOS-Protest-against-police-brutality-in-Peterborough-George-Floyd-Black-Lives-Matter-34543778,,Photos: Protests agains racial injustice in Peterborough Saturday,Monadnock Ledger- Transcript,Peterborough,New Hampshire,42.871,-71.952,✓,juliette,8,–,NE,5,,,,,1,,,,,,,,,,,,1,3360500,"2,846",97.6,0.0,0.6,1.8,"77,235",9,0,0,0,70,,,,"https://www.google.com/search?q=""Peterborough"" ""New Hampshire"" ""tear gas""",no,,,,,RL,,532,,"Peterborough, N.H.",
YorkME,"12,966",p1,,0,y,,,,,,,https://www.fosters.com/news/20200606/york-demonstrators-join-in-calls-for-justice,,,,York,Maine,43.145,-70.650,✓,jugal,13,–,NE,12,,,,,,,,,,,,1,,,,,1,2303187985,"12,966",97.6,0.3,0.7,0.5,"89,962",9,0,0,0,80,,,,,,,,,,,,,,"York, Maine",
KennebunkME,"5,809",p1,,0,y,,,,,,,https://www.fosters.com/news/20200604/maine-communities-join-nationwide-calls-to-stand-against-racism,,,,Kennebunk,Maine,43.393,-70.533,✓,jugal,15,–,NE,9,,,,,,,,,1,,,,,,,,1,2336500,"5,809",97.6,0.3,0.3,1.6,"64,543",9,0,0,0,60,,,,,,,,,,,,,,"Kennebunk, Maine",
DodgevilleWI,"4,734",p1,,0,y,,,,,,,https://wkow.com/2020/06/03/group-of-protesters-gather-in-dodgeville/,,,,Dodgeville,Wisconsin,42.960,-90.130,✓,jugal,15,–,MW,9,,,,,,,,,1,,,,,,,,1,5520350,"4,734",97.5,0.1,1.7,0.0,"58,274",9,0,0,0,50,,,,,,,,,,,,,,"Dodgeville, Wis.",4927
LatrobePA,"8,014",p1,,0,y,,,,,,,https://www.latrobebulletinnews.com/news/local/protesters-gather-for-peaceful-march-in-downtown-latrobe/article_8bee04a1-4d71-5b18-b3f4-bb97aeb13b08.html,,,,Latrobe,Pennsylvania,40.317,-79.384,✓,jugal,13,–,NE,7,,,,,,,1,,,,,,,,,,1,4241680,"8,014",97.4,0.5,1.0,0.0,"52,098",9,0,0,0,50,,,,,,,,,,,,,,"Latrobe, Pa.",3667
Gibson CityIL,"3,328",p1,,0,y,,,,,,,https://www.news-gazette.com/multimedia/gibson-city-black-lives-matter-march/collection_246cdfe6-ed7b-5ac4-b5ae-662020d08345.html,,,,Gibson City,Illinois,40.466,-88.380,✓,jugal,15,–,MW,11,,,,,,,,,,,1,,,,,,1,1729125,"3,328",97.4,0.8,0.0,0.2,"42,683",9,0,0,0,40,,,,,,,,,,,,,,"Gibson City, Ill.",6008
PhilipsburgPA,"2,731",p1,,0,y,,,,,,,https://www.lehighvalleylive.com/phillipsburg/2020/06/phillipsburg-protests-racism-police-violence-as-demonstrations-shift-to-smaller-towns-photos.html,https://wjactv.com/news/local/several-protests-scheduled-throughout-the-area-on-sunday,,,Philipsburg,Pennsylvania,40.896,-78.220,✓,jugal,12,–,NE,12,,,,,,,,,,,,1,1,,,,2,4260008,"2,731",97.3,0.8,0.0,1.3,"38,278",9,0,0,0,30,,,,,,,,,,,,,,"Philipsburg, Pa.",6576
AuburnIN,"13,162",p1,,0,y,,,,,,,https://wpta21.com/2020/06/04/several-dozen-take-part-in-auburn-demonstration-for-george-floyd/,,,,Auburn,Indiana,41.367,-85.054,✓,jugal,15,–,MW,10,,,,,,,,,,1,,,,,,,1,1802674,"13,162",97.2,0.2,0.2,1.6,"48,684",9,0,0,0,40,,,,,,,,,,,,,,"Auburn, Ind.",2473
Grundy CenterIA,"2,700",p1,,0,y,,,,,,,https://www.thegrundyregister.com/content/black-lives-matter-grundy-center-protest-draws-sizable-crowd,,,,Grundy Center,Iowa,42.362,-92.768,✓,jugal,15,–,MW,13,,,,,,,,,,,,,1,,,,1,1933195,"2,700",97.1,1.7,0.9,0.0,"58,929",9,0,0,0,50,,,,,,,,,,,,,,"Grundy Center, Iowa",6618
ScituateMA,"5,482",p1,,0,y,,,,,,,https://www.patriotledger.com/news/20200531/dozens-in-scituate-peacefully-protest-death-of-george-floyd,,,,Scituate,Massachusetts,42.200,-70.752,✓,jugal,15,–,NE,6,,,,,,1,,,,,,,,,,,1,2560295,"5,482",97.1,0.6,0.0,0.3,"121,382",9,0,0,0,120,,,,,,,,,,,,,,"Scituate, Mass.",
NewtownPA,"1,953",p1,,0,y,,,,,,,https://philadelphia.cbslocal.com/video/4580739-demonstrators-rally-in-newtown-to-demand-end-to-racism/,,,,Newtown,Pennsylvania,40.230,-74.937,✓,Alex,15,–,NE,12,,,,,,,,,,,,1,,,,,1,4254184,"1,953",97.1,0.3,0.2,0.3,"118,654",9,0,0,0,100,,,,,,,,,,,,,,"https://philadelphia.cbslocal.com/video/4580739-demonstrators-rally-in-newtown-to-demand-end-to-racism/, Pa.",7187
BentonKY,"4,460",p1,,0,y,,,,,,,https://www.wpsdlocal6.com/news/demonstrators-protest-racial-inequality-in-marshall-county/article_fc7515e4-a764-11ea-9468-ff96839fa5ff.html,,,,Benton,Kentucky,36.857,-88.351,✓,jugal,15,–,S,11,,,,,,,,,,,1,,,,,,1,2105824,"4,460",97.0,1.1,0.0,0.3,"49,595",9,0,0,0,40,,,,,,,,,,,,,,"Benton, Ky.",5067
WhitefishMT,"7,309",p1,,0,y,white,,y,,,,https://www.dailyinterlake.com/news/2020/jun/04/black-lives-matter-protests-ramp-up-in-6/,,‘Black Lives Matter’ protests ramp up in Flathead Valley,Daily Inter Lake,Whitefish,Montana,48.411,-114.337,✓,jugal,9,–,W,7,,,,,,,1,1,1,1,,,,,,,4,3079825,"7,309",96.9,0.0,0.5,1.9,"51,059",9,0,0,0,50,,,,,,,,,,,,,,"Whitefish, Mont.",3506
WellsvilleNY,"4,466",p1,,0,y,,,,,,,https://www.wellsvilledaily.com/photogallery/NE/20200601/NEWS/601009998/PH/1,,Protest March in Wellsville,Wellsville Daily Reporter,Wellsville,New York,42.120,-77.945,✓,jugal,8,–,NE,7,,,,,,,1,,,,,,,,,,1,3679092,"4,466",96.9,1.3,0.1,0.8,"42,933",9,0,0,0,40,,,,"https://www.google.com/search?q=""Wellsville"" ""New York"" ""tear gas""",no,,,,,AS,,383,,"Wellsville, N.Y.",5128
