,date,city_st,size,size_str,urls,collection
0,2020-06-09,"Camden, DE",,21,['https://www.delawareonline.com/story/news/2020/06/10/delaware-officials-denounce-arrests-george-floyd-protesters-near-dover/5332891002/'],Wikipedia
1,2020-05-31,"Dover, DE",220.0,over 200 protesters,"['http://www.wboc.com/story/42193439/day-that-starts-with-peaceful-demonstrations-in-downtown-dover-for-george-floyd-also-sees-route-13-shut-down-businesses-broken-into', 'https://www.wdel.com/news/curfew-issued-for-dover-following-dover-mall-being-looted-after-crosstown-protest-march/article_00791c86-a39f-11ea-93e8-b336f20b1930.html']",Wikipedia
2,2020-06-03,"Georgetown, DE",,approximately 200 people,['https://www.capegazette.com/article/rally-georgetown-protests-police-violence/203075'],Wikipedia
3,2020-06-07,"Middletown, DE",200.0,hundreds,['https://www.delawareonline.com/story/news/local/2020/06/07/george-floyd-protests-middletown-draws-hundreds-sunday-protest-against-systemic-racism-police-brutal/3172262001/'],Wikipedia
4,2020-06-01,"Rehoboth Beach, DE",,up to 500 people,"['https://www.capegazette.com/article/protesters-march-bandstand-rehoboth/202963?ts=1591056315', 'https://www.delmarvanow.com/story/news/local/delaware/2020/06/01/possible-george-floyd-protest-rehoboth-shuts-down-tanger-outlets-lowes-home-depot-delaware/5311792002/', 'https://www.capegazette.com/article/protesters-gather-route-1-near-rehoboth/203232']",Wikipedia
5,2020-05-31,"Seaford, DE",200.0,hundreds,['http://starpublications.online/peaceful-protest-for-floyd-held-on-sunday-in-seaford/'],Wikipedia
6,2020-01-01,"Wilmington, DE",,,[],Wikipedia
7,2020-05-30,"Hilo, HI",,,['https://www.kitv.com/story/42192226/local-protests-demand-justice-for-george-floyd'],Wikipedia
8,2020-05-30,"Honolulu, Honolulu",120.0,more than 100 protesters,['https://www.staradvertiser.com/2020/05/29/breaking-news/hundred-plus-demonstrators-at-hawaii-capitol-protest-police-killing-of-george-floyd/'],Wikipedia
9,2020-05-30,"Kahului, HI",160.0,over 150 people,['https://mauinow.com/2020/05/30/video-black-lives-matter-maui-rally-seeks-unity-and-peace/'],Wikipedia
10,2020-01-01,"Kailua-Kona, HI",,,[],Wikipedia
11,2020-05-30,"Boise, ID",,,"['https://www.idahopress.com/boiseweekly/news/citydesk/after-the-killing-of-george-floyd-a-small-boise-protest-voices-anger-allyship-and-aspirations/article_e56dd737-f976-5890-8a08-a26c2c8eee63.html', 'https://magicvalley.com/news/local/hundreds-gather-at-boise-statehouse-to-protest-police-brutality-remember-george-floyd/article_c92d0a50-8960-54c0-af9e-ab868c275eaa.html', 'https://www.ktvb.com/article/news/local/gunshot-fired-during-protest-in-downtown-boise/277-6327f425-45ae-4f42-92d1-3eb9c31628eb']",Wikipedia
12,2020-01-01,"Coeur d’Alene, ID",,around 25 protesters,"['https://www.spokesman.com/stories/2020/jun/02/demonstrators-and-armed-citizens-co-exist-peaceful/', 'https://www.khq.com/news/groups-unite-to-keep-protests-peaceful-in-coeur-dalene/article_38b2ba8e-a6ca-11ea-916c-fb22c65a8146.html']",Wikipedia
13,2020-05-30,"Idaho Falls, ID",,about 70 people,['https://www.eastidahonews.com/2020/05/locals-hold-rally-to-protest-the-death-of-george-floyd/'],Wikipedia
14,2020-06-06,"Lewiston, ID",,"approximately 1,000 people","['https://klewtv.com/live/huge-crowds-gather-in-kiwanis-park-for-peaceful-black-lives-matter-protest', 'https://www.uiargonaut.com/2020/06/07/lc-valley-black-lives-matter-and-protect-lc-valley-rallies-took-place-1-mile-apart/']",Wikipedia
15,2020-06-03,"Pocatello, ID",200.0,hundreds,"['https://localnews8.com/news/2020/06/03/hundreds-gather-in-pocatello-for-kneel-for-nine-unity-march/', 'https://www.youtube.com/watch?v=ae41BeGmONg']",Wikipedia
16,2020-05-31,"Rexburg, ID",220.0,over 200 people,"['https://byuiscroll.org/vigil-held-for-george-floyd-at-porter-park/', 'https://www.rexburgstandardjournal.com/news/local/supporters-of-the-black-lives-matter-movement-holds-sunday-memorial-in-rexburg/article_a3080cee-a813-5fc9-ba07-cb488f70f5ad.html', 'https://byuiscroll.org/black-lives-matter-protests-reach-rexburg/', 'https://soundcloud.com/byu-idaho-radio/black-lives-matter-protests-in-rexburg']",Wikipedia
17,2020-06-04,"Sandpoint, ID",,of least 50,['https://twitter.com/cam_ras/status/1268698637028093952'],Wikipedia
