city,text,state,references
Hagåtña, Over 100 people protested peacefully at the Chief Kepuha statue.,Guam,['https://www.pncguam.com/floyd-protest-held-at-chief-kepuha-monument-in-hagatna/']
Tamuning," About 125 people protested peacefully at the ITC intersection.
Puerto Rico",Guam,"['https://www.pncguam.com/peaceful-protest-on-guam-over-death-of-george-floyd/', 'https://www.guampdn.com/story/news/local/2020/06/02/black-lives-matter-protests-held-planned/5314520002/']"
Loíza, Hundreds gathered for a vigil on June 1.,Puerto Rico,['https://www.nytimes.com/2020/06/01/us/floyd-protests-live.html']
San Juan," Over 200 people protested in San Juan on June 2. Police officers used pepper spray on the protesters.
Northern Mariana Islands",Puerto Rico,['https://www.nytimes.com/2020/06/02/us/george-floyd-video-autopsy-protests.html']
Saipan," One person protested for two hours on Beach Road across Atkins Kroll in Oleai.
U.S. Virgin Islands",Saipan,"['https://www.saipantribune.com/index.php/black-lives-matter-on-saipan-too/', 'https://www.saipantribune.com/index.php/black-lives-matter-on-saipan-too/', 'https://www.kuam.com/story/42197881/saipan-resident-holds-onewoman-protest-for-justice']"
Charlotte Amalie," On June 6, over 1,000 protesters marched and observed nine minutes of silence.",U.S. Virgin Islands,['https://stthomassource.com/content/2020/06/07/1000-thomians-march-to-support-black-lives-matter/']
Christiansted," June 7:  A crowd of 50 to 60 adults and children stood in silence for 8'46"" at the Lagoon in Gallows Bay.",U.S. Virgin Islands,['https://www.creosotemaps.com/blm2020/']
Frederiksted," A motorcade was held and a childhood friend of Floyd's spoke at a protest on June 4.
See also",U.S. Virgin Islands,['https://viconsortium.com/vi-community_center/virgin-islands-its-everybody-against-racism-motorcade-candlelight-vigil-held-on-st-croix-for-george-floyd']
Anniston,A crowd protested peacefully along Quintard Avenue on June 1 and 2.,Alabama,['https://www.annistonstar.com/news/anniston/local-protests-continue-after-george-floyd-s-death/article_d2ff18e2-a456-11ea-962e-cfb98489f7d4.html']
Ashland,A crowd protested peacefully in front of the Clay County courthouse on June 2.,Alabama,['https://www.wbrc.com/2020/06/02/peaceful-protest-held-ashland/']
